captcha_id,variant,expected,raw_text,normalized_text,exact_match,edit_distance,char_accuracy,image_paths,model,detail
001,original,ae6kx,t9xpg,t9xpg,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_001_original.jpg,gpt-5.2,high
001,box_k4,ae6kx,ae5kx,ae5kx,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_001_box_k4.png,gpt-5.2,high
001,box_k5,ae6kx,ae5kx,ae5kx,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_001_box_k5.png,gpt-5.2,high
001,box_k5_soft_contrast,ae6kx,ae5kx,ae5kx,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_001_box_k5_soft_contrast.png,gpt-5.2,high
002,original,gk2bc,u7p7s,u7p7s,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_002_original.jpg,gpt-5.2,high
002,box_k4,gk2bc,gk3ux,gk3ux,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_002_box_k4.png,gpt-5.2,high
002,box_k5,gk2bc,yk2bc,yk2bc,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_002_box_k5.png,gpt-5.2,high
002,box_k5_soft_contrast,gk2bc,yk2bc,yk2bc,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_002_box_k5_soft_contrast.png,gpt-5.2,high
003,original,a8gge,c89ge,c89ge,false,2,0.600000,C:\xxx\captcha\captcha_pairs_60\captcha_003_original.jpg,gpt-5.2,high
003,box_k4,a8gge,a8yye,a8yye,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_003_box_k4.png,gpt-5.2,high
003,box_k5,a8gge,a8yye,a8yye,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_003_box_k5.png,gpt-5.2,high
003,box_k5_soft_contrast,a8gge,a8gye,a8gye,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_003_box_k5_soft_contrast.png,gpt-5.2,high
